model,Brier_mean,Brier_std,Brier_median,Brier_ci_lower,Brier_ci_upper,BACC_mean,BACC_std,BACC_median,BACC_ci_lower,BACC_ci_upper,MCC_mean,MCC_std,MCC_median,MCC_ci_lower,MCC_ci_upper,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_median,AUC_ROC_ci_lower,AUC_ROC_ci_upper,AUC_PR_mean,AUC_PR_std,AUC_PR_median,AUC_PR_ci_lower,AUC_PR_ci_upper,SE_mean,SE_std,SE_median,SE_ci_lower,SE_ci_upper,PPV_mean,PPV_std,PPV_median,PPV_ci_lower,PPV_ci_upper,F1_mean,F1_std,F1_median,F1_ci_lower,F1_ci_upper,SP_mean,SP_std,SP_median,SP_ci_lower,SP_ci_upper,NPV_mean,NPV_std,NPV_median,NPV_ci_lower,NPV_ci_upper,ACC_mean,ACC_std,ACC_median,ACC_ci_lower,ACC_ci_upper
RF,0.11941216738686507,0.008598555005445926,0.12516554076008501,0.11161548110595838,0.1265877160127457,0.8096181001283698,0.042083242288649125,0.8337612323491657,0.7742163029525033,0.8442650834403083,0.6390312558743461,0.07001486271047216,0.658702969519582,0.577728904562334,0.6937976790857154,0.9013546213093709,0.02651643421384007,0.9039473684210526,0.8780937098844672,0.9246155327342747,0.8092787811185878,0.05475564394782129,0.8062819695493126,0.7662111707215725,0.8679556986937564,0.7078947368421054,0.08664251385870698,0.75,0.631578947368421,0.781578947368421,0.7904761904761906,0.03734377890799555,0.7857142857142857,0.7571428571428571,0.8238095238095239,0.7443792433266119,0.05752405048254061,0.7692307692307692,0.6947985347985348,0.7941787941787942,0.9113414634146342,0.01951067067215619,0.925,0.8918292682926829,0.9264634146341464,0.8698021089123212,0.03234728461026566,0.8809523809523809,0.841814122008763,0.8980952380952381,0.8460451977401131,0.027385108018976624,0.85,0.8227118644067797,0.86939406779661
GB,0.1364375984946671,0.020470502235843662,0.1383149705663442,0.11904414609498419,0.15466344507398289,0.797301026957638,0.03560283831616337,0.8196405648267009,0.7674667041078306,0.8274326059050064,0.6030150073113674,0.06432316838080217,0.6489327854329603,0.5492810819204772,0.6567489327022576,0.89448973042362,0.012779474899918791,0.8921694480102695,0.8834916559691912,0.9055391527599486,0.8079968749939033,0.010785758665720903,0.8138907642460325,0.7974264357493714,0.8166673432571947,0.7078947368421054,0.06467476698655006,0.7368421052631579,0.6526315789473683,0.7632236842105264,0.7458032335741315,0.03502697818902255,0.75,0.7147058823529413,0.7769005847953216,0.7257103257103257,0.048423643472338414,0.7567567567567567,0.6846846846846848,0.7667359667359667,0.8867073170731707,0.011926305539900157,0.8780487804878049,0.8768292682926828,0.8970731707317073,0.8659087594198202,0.026156148672394238,0.8780487804878049,0.8438268103611268,0.8879907084785135,0.8293220338983049,0.025347909543823998,0.85,0.8079661016949153,0.85
SVM_linear,0.13594562437884472,0.019396522599111198,0.14025294049251036,0.11752061692685407,0.15288457965246277,0.7503562259306804,0.06542465964452336,0.7670089858793325,0.6959724005134789,0.807573812580231,0.542740014653776,0.13503730167727565,0.5617437798685708,0.4257492538946349,0.6597307754129172,0.8762034659820281,0.033729726192462284,0.8631578947368421,0.8477631578947369,0.9051123234916559,0.7687426992378634,0.08253539055588752,0.731463093388619,0.697581692145412,0.8396236412510267,0.5847368421052631,0.1024411188219104,0.631578947368421,0.49681578947368427,0.6736842105263158,0.7652472527472527,0.09943802665373683,0.75,0.6840659340659341,0.8581043956043957,0.6616723962312199,0.10042416806033673,0.6857142857142857,0.5739075630252101,0.7494372294372296,0.9159756097560976,0.034033786621044754,0.9024390243902439,0.8854878048780488,0.9458536585365852,0.8235177865612648,0.043887758967748304,0.8409090909090909,0.7855731225296443,0.8614624505928854,0.8092090395480225,0.05501461565020669,0.8166666666666667,0.7617514124293784,0.8566666666666667
LR,0.13361588524344886,0.019192788657781578,0.13756347111630923,0.11722960447051256,0.15000216601638522,0.7917329910141206,0.053527080108204915,0.8196405648267009,0.7388489249037227,0.8322207958921695,0.607448880475437,0.1082923794769765,0.6489327854329603,0.5047828780302624,0.6949874329222199,0.8751627086007702,0.03170659660301025,0.8644736842105263,0.8486950176508343,0.9062928433889601,0.7785359541610879,0.06950894313769204,0.7324577355614463,0.720118101271477,0.8369538070506988,0.6773684210526316,0.08912626046631342,0.6842105263157895,0.5931578947368421,0.7510526315789473,0.7769423558897244,0.087526142910262,0.7777777777777778,0.7023391812865498,0.8571428571428571,0.7213110098559015,0.07670646937201217,0.7567567567567567,0.6476780185758514,0.7822923401870769,0.9060975609756097,0.036858734779774166,0.9024390243902439,0.8804878048780488,0.9408536585365853,0.8563489003043616,0.03779455148871415,0.8695652173913043,0.82012987012987,0.8872696056153109,0.8325423728813559,0.044686158441202405,0.85,0.7909604519774011,0.8699999999999999
SVM_rbf,0.14172290671911245,0.015117664146335443,0.14422510857347065,0.12802345470171392,0.15419015591024807,0.7608023106546855,0.02499844353067341,0.7670089858793325,0.7391206675224647,0.781643132220796,0.5500667173474136,0.05954791998674858,0.5617437798685708,0.49468606646954416,0.6015277811137754,0.8606614249037227,0.03157197295969954,0.8677792041078306,0.8345773427471116,0.8865596919127086,0.7368401815496618,0.07166989008153592,0.7113515781658408,0.6768025805350518,0.8094713959908812,0.6252631578947369,0.03560323057955318,0.631578947368421,0.5936842105263158,0.6526315789473685,0.7458730158730159,0.06227079412904034,0.7333333333333333,0.6966666666666667,0.8031746031746032,0.6788654973175098,0.03523084012216327,0.6857142857142857,0.6488921309633383,0.7063159416100593,0.896341463414634,0.03329960617731904,0.9,0.8704817073170732,0.9307317073170731,0.8347167325428195,0.018006767078097088,0.8409090909090909,0.8189158667419537,0.8493591191417278,0.8093220338983051,0.02736295319418977,0.8166666666666667,0.7846002824858758,0.8366666666666666
NB,0.14652460363392297,0.012996243071458349,0.1505074000100594,0.13514418807365183,0.15792851723439,0.7232509627727856,0.03017467055895285,0.7125,0.6970571245186136,0.749191270860077,0.516066726880008,0.05880295095305779,0.5167534774045314,0.46151905890031114,0.5643802599719656,0.8509823491655968,0.021277255531211566,0.8510911424903722,0.8306999358151478,0.8691166639922978,0.7262264113049555,0.07128946344414176,0.6795212427248165,0.6661138213683018,0.786339001241609,0.5105263157894736,0.06137844099837161,0.5,0.4526315789473684,0.5631578947368421,0.7964590964590965,0.06740501824662927,0.7857142857142857,0.7384615384615386,0.8511599511599511,0.6188311688311688,0.05017357336913254,0.6060606060606061,0.5747835497835497,0.6628787878787878,0.9359756097560975,0.024885221347677455,0.926829268292683,0.9163414634146342,0.9603658536585366,0.8021911447280115,0.019539967103877776,0.7872340425531915,0.7860659157279933,0.8183163737280296,0.7994350282485876,0.02278524839556584,0.8,0.78,0.8194350282485875
DT,0.1545684004396138,0.03317426679997332,0.14294880578514094,0.13450740122750102,0.1882900430179313,0.7697015404364571,0.08249617077921548,0.7971758664955071,0.6879525032092427,0.8271919127086008,0.5387185187421284,0.16135318872532242,0.5686531931014617,0.388067730490846,0.6549578563598906,0.8243642490372272,0.040144510514577195,0.8289473684210524,0.7856732910783055,0.8525673940949934,0.7678719446162038,0.05750975090998671,0.795888284253154,0.7103918409877372,0.7999295188065012,0.6868421052631579,0.1383519939799465,0.75,0.5473684210526316,0.781578947368421,0.6839435545385202,0.11092824044965968,0.6842105263157895,0.5868421052631578,0.7804347826086957,0.6828687102371312,0.11896555390398035,0.7142857142857143,0.5690225563909774,0.766338924233661,0.8525609756097561,0.045718534688234065,0.85,0.8139024390243902,0.8915853658536586,0.8545688545688546,0.05497018888915438,0.8809523809523809,0.8045688545688545,0.8923951093951094,0.7993220338983051,0.06413228253579706,0.8,0.74,0.8466666666666667
kNN_k5,0.1886580128903158,0.013622813165311142,0.18328762078805183,0.17858710359844024,0.20096611656218485,0.6323299101412067,0.03654666190245491,0.6375,0.6003369704749678,0.6606707317073172,0.3328177619830708,0.08358324327606233,0.3478505426185217,0.2592171381883128,0.4034238393123218,0.7473327984595635,0.03975924189337788,0.75125,0.7145325657894737,0.7812118741976892,0.5634980877235775,0.05309555436805652,0.5668896193902148,0.5160542126222217,0.6124545497145139,0.34368421052631576,0.07068325037557702,0.3684210526315789,0.2736842105263158,0.3963157894736842,0.671962481962482,0.08124579452061538,0.7,0.6019047619047619,0.7420202020202021,0.4518610421836229,0.07740669942444613,0.4666666666666667,0.3815132340777503,0.5103225806451613,0.9209756097560977,0.02495266190428305,0.926829268292683,0.8957317073170732,0.9410975609756097,0.748375613914775,0.02035868031930526,0.7446808510638298,0.7311298557158712,0.7650226047865955,0.7357062146892656,0.02744483671313665,0.7333333333333333,0.7114124293785311,0.76
MLP,0.20073310657403706,0.029401710878669052,0.20239561791244912,0.17419756883875134,0.22600993298869812,0.6381996148908857,0.052934574706381285,0.607188703465982,0.6002246469833119,0.6849807445442875,0.33765477731408555,0.14623491799218882,0.3086066999241838,0.23846481668979028,0.48438162695822096,0.7417621951219513,0.07709302512526024,0.7522464698331193,0.6814634146341463,0.8105298459563542,0.6467051755335914,0.10499931175350438,0.6180941851502508,0.5666469130630307,0.7421330635374224,0.41578947368421043,0.1293495339731001,0.47368421052631576,0.3052631578947368,0.5210526315789473,0.6635836385836386,0.1932609183472056,0.625,0.5164529914529914,0.836458333333333,0.4826095152410942,0.09982930068439302,0.4888888888888889,0.39692307692307693,0.5680263157894736,0.860609756097561,0.13506316410713828,0.926829268292683,0.7348750000000001,0.9707317073170731,0.758004075096195,0.02590905870765395,0.7575757575757576,0.7381587123568254,0.7819037048781776,0.7187005649717515,0.07139696249582905,0.7166666666666667,0.652768361581921,0.7833333333333333
